num_simulations,num_observation,algorithm,C2ST
1000,1,SNLE,0.9934999942779541
2000,1,SNLE,0.9698500037193298
3000,1,SNLE,0.9878000020980835
4000,1,SNLE,0.9881500005722046
5000,1,SNLE,0.9964500069618225
6000,1,SNLE,0.9814000129699707
7000,1,SNLE,0.9925000071525574
8000,1,SNLE,0.9767500162124634
9000,1,SNLE,0.9805999994277954
10000,1,SNLE,0.9763500094413757
