num_simulations,num_observation,algorithm,EMDP2
1000,6,SNPE,0.11173534855804904
2000,6,SNPE,0.11300832919855729
3000,6,SNPE,0.09906467733101686
4000,6,SNPE,0.10179545443014361
5000,6,SNPE,0.1033070884210651
6000,6,SNPE,0.09242717777919336
7000,6,SNPE,0.08451456420305961
8000,6,SNPE,0.0852140850794443
9000,6,SNPE,0.08277914834155199
10000,6,SNPE,0.07242456462600812
